"tract","Name","Employment_Rate_rP_gP_pall"
17031350100,"Bronzeville, Chicago, IL",0.7989
17031815702,"Riverside, IL",0.7989
17031810302,"Evanston, IL",0.7987
17031823904,"Palos Heights, IL",0.7987
17031640300,"Clearing, Chicago, IL",0.7985
17031640400,"South Side, Chicago, IL",0.7985
17031821002,"Burbank, IL",0.7984
17043845902,"Burr Ridge, IL",0.7983
17043844402,"Oak Brook, IL",0.7983
17043843601,"Lombard, IL",0.7982
17031040401,"Lincoln Square, Chicago, IL",0.7982
17031808200,"Niles, IL",0.7981
17031440700,"South Side, Chicago, IL",0.7979
17031700501,"South Side, Chicago, IL",0.7978
17031815500,"Berwyn, IL",0.7978
17031813000,"Oak Park, IL",0.7977
17031824701,"Midlothian, IL",0.7977
17031821200,"Blue Island, IL",0.7975
17031150401,"Portage Park, Chicago, IL",0.7974
17043843500,"Lombard, IL",0.7974
18089030100,"East Chicago, IN",0.7974
17031805402,"Niles, IL",0.7971
17031814400,"Cicero, IL",0.797
17031823302,"Chicago, IL",0.7969
17031050500,"North Center, Chicago, IL",0.7968
17031813100,"Oak Park, IL",0.7965
17031822900,"Bridgeview, IL",0.7965
18089030900,"East Chicago, IN",0.7965
17031100600,"Norwood Park, Chicago, IL",0.7964
17031815100,"Berwyn, IL",0.7963
17031823702,"Palos Hills, IL",0.7963
17043845601,"Downers Grove, IL",0.7961
17031811701,"Melrose Park, IL",0.7959
17031730100,"South Side, Chicago, IL",0.7958
17031170500,"Dunning, Chicago, IL",0.7958
17031817900,"Broadview, IL",0.7953
17043844001,"Elmhurst, IL",0.7952
17031813500,"Cicero, IL",0.7951
17031822400,"Oak Lawn, IL",0.7951
17031620300,"South Side, Chicago, IL",0.795
17031821101,"Burbank, IL",0.7948
17031812801,"Oak Park, IL",0.7948
17031817300,"Maywood, IL",0.7948
17031814000,"Cicero, IL",0.7947
17031220500,"Logan Square, Chicago, IL",0.7943
17031817000,"Bellwood, IL",0.7942
17043845805,"Burr Ridge, IL",0.7941
17043843700,"Villa Park, IL",0.794
17031815701,"Riverside, IL",0.7939
17031826401,"Dolton, IL",0.7938
17031825803,"Calumet City, IL",0.7936
17031805002,"Mount Prospect, IL",0.7936
17031050300,"North Center, Chicago, IL",0.7932
17031040100,"Lincoln Square, Chicago, IL",0.793
17031807300,"Skokie, IL",0.7928
17031820103,"La Grange, IL",0.7928
17043840201,"Itasca, IL",0.7928
18089020300,"Hammond, IN",0.7927
17031140702,"Albany Park, Chicago, IL",0.7927
17031650302,"South Side, Chicago, IL",0.7927
17031811402,"Franklin Park, IL",0.7926
17031340300,"South Side, Chicago, IL",0.7926
17031250400,"Austin, Chicago, IL",0.7926
17031840200,"Bridgeport, Chicago, IL",0.7925
17043840706,"Elmhurst, IL",0.7924
17043840103,"Wood Dale, IL",0.7922
17031822301,"Oak Lawn, IL",0.7921
17031700402,"Ashburn, Chicago, IL",0.7919
17031411200,"Hyde Park, Chicago, IL",0.7919
17031811200,"River Grove, IL",0.7919
17031820000,"Hinsdale, IL",0.7918
17031210900,"Avondale, Chicago, IL",0.7918
17043844301,"Lombard, IL",0.7917
17031824005,"Lemont, IL",0.7915
17031580700,"Brighton Park, Chicago, IL",0.7915
17031480400,"Calumet Heights, Chicago, IL",0.7914
17031826100,"Calumet City, IL",0.7912
17031811900,"River Forest, IL",0.7911
17031210800,"Avondale, Chicago, IL",0.791
17043844305,"Lombard, IL",0.791
17031150502,"Portage Park, Chicago, IL",0.791
17031250600,"Austin, Chicago, IL",0.7909
17031808001,"Lincolnwood, IL",0.7909
17031817400,"Maywood, IL",0.7906
17031301801,"Little Village, Chicago, IL",0.7904
17031821402,"Calumet Park, IL",0.7904
17031819900,"Western Springs, IL",0.7904
17031520100,"East Side, Chicago, IL",0.7904
17031210700,"Avondale, Chicago, IL",0.7903
17031806300,"Des Plaines, IL",0.7902
17043840102,"Wood Dale, IL",0.7901
17031410800,"Hyde Park, Chicago, IL",0.7898
17031230800,"Humboldt Park, Chicago, IL",0.7897
17031640600,"South Side, Chicago, IL",0.7897
17031843900,"South Side, Chicago, IL",0.7895
17043840303,"Addison, IL",0.7894
17031823001,"Chicago Ridge, IL",0.7894
17031040201,"Lincoln Square, Chicago, IL",0.7894
17031823101,"Worth, IL",0.7891
17031811301,"Melrose Park, IL",0.789
17031560100,"South Side, Chicago, IL",0.789
17043842900,"Elmhurst, IL",0.7888
17031819200,"Lyons, IL",0.7888
17031140301,"Albany Park, Chicago, IL",0.7884
17031811000,"Elmwood Park, IL",0.7882
17031160700,"Irving Park East, Chicago, IL",0.7882
17031826301,"South Holland, IL",0.7881
17031222600,"Logan Square, Chicago, IL",0.7881
17031530300,"South Side, Chicago, IL",0.7877
17031720700,"Beverly, Chicago, IL",0.7876
17031030900,"Edgewater, Chicago, IL",0.7875
17031610800,"Canaryville, Chicago, IL",0.7875
17031062000,"Boystown, Chicago, IL",0.7873
17031120400,"Forest Glen, Chicago, IL",0.7873
17031200200,"Belmont Gardens, Chicago, IL",0.7871
17031210400,"Avondale, Chicago, IL",0.7869
17043844702,"Hinsdale, IL",0.7868
17031630900,"Gage Park, Chicago, IL",0.7868
17031811702,"Melrose Park, IL",0.7868
17031770700,"Rosemont, IL",0.7866
17031700401,"South Side, Chicago, IL",0.7864
17031820501,"Bridgeview, IL",0.7861
17031840300,"McKinley Park, Chicago, IL",0.7859
17043840000,"Bensenville, IL",0.7856
17031770902,"Chicago, IL",0.7854
18089021000,"Hammond, IN",0.7853
17031060900,"Lake View East, Chicago, IL",0.7852
17043840104,"Addison, IL",0.7852
17031200300,"Hermosa, Chicago, IL",0.7851
17031843200,"Heart of Chicago, Chicago, IL",0.785
17031222500,"Logan Square, Chicago, IL",0.7849
17031190900,"Belmont Cragin, Chicago, IL",0.7845
17031842300,"West Town, Chicago, IL",0.7845
17031160400,"Irving Park, Chicago, IL",0.7844
17031590500,"South Side, Chicago, IL",0.7844
17031820902,"Burbank, IL",0.7843
18089020600,"Hammond, IN",0.7843
17031842400,"South Side, Chicago, IL",0.7839
17031770400,"Elk Grove Village, IL",0.7834
17031270500,"Garfield Park, Chicago, IL",0.7833
17031811600,"Schiller Park, IL",0.7827
17031820400,"Summit, IL",0.7826
17031661100,"South Side, Chicago, IL",0.7825
17031600400,"Bridgeport, Chicago, IL",0.7824
17031061901,"Lake View East, Chicago, IL",0.7824
17031810502,"Norridge, IL",0.7822
17043846603,"Addison, IL",0.7821
17031825801,"Calumet City, IL",0.782
17031806002,"Des Plaines, IL",0.782
17043846701,"Addison, IL",0.7818
17031340500,"Armour Square, Chicago, IL",0.7816
17043845506,"Westmont, IL",0.7816
17031671900,"Englewood, Chicago, IL",0.7813
17031839700,"Bridgeport, Chicago, IL",0.7812
17031825900,"Calumet City, IL",0.7811
17031560800,"Garfield Ridge, Chicago, IL",0.7811
17031040300,"Budlong Woods, Chicago, IL",0.7809
17031807200,"Skokie, IL",0.7808
17031821001,"Burbank, IL",0.7808
17031520200,"East Side, Chicago, IL",0.7808
17031816900,"Bellwood, IL",0.7807
17031832500,"Lincoln Park, Chicago, IL",0.7807
17031230200,"Humboldt Park, Chicago, IL",0.7807
17031822302,"Oak Lawn, IL",0.7806
17031814500,"Cicero, IL",0.7806
17031490300,"South Side, Chicago, IL",0.7805
17031410100,"South Side, Chicago, IL",0.7804
17031061500,"Lake View, Chicago, IL",0.7802
17031711500,"Auburn Gresham, Chicago, IL",0.7801
17031160200,"Old Irving Park, Chicago, IL",0.7797
17031200100,"Belmont Gardens, Chicago, IL",0.7797
17031620100,"South Side, Chicago, IL",0.7796
17043844307,"Lombard, IL",0.7795
17031241500,"West Town, Chicago, IL",0.7794
17043840705,"Elmhurst, IL",0.7793
