"tract","Name","Employment_Rate_rP_gP_p75"
24013507702,"Westminster, MD",0.8135
24005450900,"Essex, MD",0.8134
24003740203,"Severn, MD",0.8134
24510090400,"Better Waverly, Baltimore, MD",0.8133
24003740303,"Severn, MD",0.8133
24005420600,"Baltimore, MD",0.8133
24005450400,"Essex, MD",0.8132
24005451000,"Essex, MD",0.8132
24005430400,"Halethorpe, MD",0.8129
24510280404,"Irvington, Baltimore, MD",0.8126
24027602800,"Ellicott City, MD",0.8124
24027601104,"Ellicott City, MD",0.8124
24510080600,"Broadway East, Baltimore, MD",0.8123
24025301204,"Abingdon, MD",0.8122
24033800212,"Laurel, MD",0.8119
24005408900,"Cockeysville, MD",0.8117
24005490200,"Lutherville-Timonium, MD",0.8115
24013509001,"Westminster, MD",0.811
24510270801,"Idlewood, Baltimore, MD",0.8106
24033800213,"Laurel, MD",0.8104
24003740500,"Laurel, MD",0.81
24005451300,"Middle River, MD",0.8097
24005402405,"Gwynn Oak, Baltimore, MD",0.8096
24510120201,"Baltimore, MD",0.8091
24031702102,"Woodmoor, Silver Spring, MD",0.8091
24510151100,"East Arlington, Baltimore, MD",0.8089
24005402305,"Lochearn, Pikesville, MD",0.8088
24033800108,"Laurel, MD",0.8088
24005403201,"Gwynn Oak, Lochearn, MD",0.8087
24003731105,"Arnold, MD",0.8086
24005491900,"Parkville, MD",0.8082
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.8081
24003740701,"Odenton, MD",0.8081
24027605503,"Harper's Choice, Columbia, MD",0.8081
24005440701,"Rosedale, MD",0.8079
24033807200,"College Park, MD",0.8076
24005490800,"Towson, MD",0.8075
24025301107,"Abingdon, MD",0.8074
24033807405,"Beltsville, MD",0.807
24005492402,"Owings Mills, MD",0.8067
24035810600,"Queenstown, MD",0.8067
24510270402,"Glenham-Belford, Baltimore, MD",0.8066
24510130803,"Medfield, Baltimore, MD",0.8066
24027602201,"Ellicott City, MD",0.8064
24003740304,"Odenton, MD",0.8063
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.8061
24005401302,"Gwynn Oak, Baltimore, MD",0.8057
24510150500,"Burleith-Leighton, Baltimore, MD",0.8054
24003731311,"Green Haven, Pasadena, MD",0.8053
24031702900,"Silver Spring, MD",0.8053
24005404102,"Owings Mills, MD",0.8049
24005411102,"Kingsville, MD",0.8049
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.8049
24013514201,"Sykesville, MD",0.8048
24005492200,"Parkville, MD",0.8047
24005408304,"Cockeysville, MD",0.8046
24510120300,"Harwood, Baltimore, MD",0.8046
24510260202,"Parkside, Baltimore, MD",0.8046
24033800203,"Laurel, MD",0.8046
24025303900,"Bel Air, MD",0.8045
24003751102,"Glen Burnie, MD",0.8043
24005441102,"Rosedale, MD",0.8041
24025301302,"Edgewood, MD",0.804
24003731204,"Pasadena, MD",0.8035
24003751200,"Linthicum Heights, MD",0.8034
24510280302,"West Forest Park, Baltimore, MD",0.8033
24510220100,"Baltimore, MD",0.8032
24005430800,"Halethorpe, MD",0.8032
24005450503,"Essex, MD",0.8031
24027606905,"Savage, Savage, MD",0.803
24005403601,"Baltimore, MD",0.8024
24005491402,"Parkville, MD",0.8023
24005404202,"Owings Mills, MD",0.802
24003731306,"Pasadena, MD",0.802
24005402302,"Windsor Mill, Milford Mill, MD",0.8017
24005403602,"Baltimore, MD",0.8016
24003730902,"Annapolis, MD",0.8016
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",0.8015
24005492401,"Owings Mills, MD",0.8014
24033807305,"Adelphi, MD",0.8007
24510261000,"Patterson Park, Baltimore, MD",0.8007
24005441000,"Baltimore, MD",0.8006
24510271400,"Evergreen, Baltimore, MD",0.8005
24027601107,"Waterloo, Elkridge, MD",0.8
