"tract","Name","Employment_Rate_rP_gP_p50"
17031190200,"Belmont Cragin, Chicago, IL",0.7928
17031640600,"South Side, Chicago, IL",0.7928
17031580100,"Brighton Park, Chicago, IL",0.7926
17031630300,"Gage Park, Chicago, IL",0.7924
17031550200,"South Side, Chicago, IL",0.7924
17031820300,"Summit, IL",0.7924
17031700402,"Ashburn, Chicago, IL",0.7923
17031010201,"Rogers Park, Chicago, IL",0.7923
17031650301,"South Side, Chicago, IL",0.7922
17043845701,"Downers Grove, IL",0.7921
17031823705,"Hickory Hills, IL",0.792
17031831200,"Hermosa, Chicago, IL",0.7919
17031814500,"Cicero, IL",0.7919
17031824701,"Midlothian, IL",0.7918
17031837800,"Near West Side, Chicago, IL",0.7917
17031110501,"Jefferson Park, Chicago, IL",0.7917
17031590600,"McKinley Park, Chicago, IL",0.7916
17031720700,"Beverly, Chicago, IL",0.7916
17031030500,"Magnolia Glen, Chicago, IL",0.7915
17031190100,"Belmont Cragin, Chicago, IL",0.7915
17031824116,"Orland Park, IL",0.7914
17031819400,"Brookfield, IL",0.7913
17031530400,"South Side, Chicago, IL",0.7912
17031839900,"Bridgeport, Chicago, IL",0.7912
17031822702,"Oak Lawn, IL",0.7911
17031760803,"O'Hare, Chicago, IL",0.791
17031661100,"South Side, Chicago, IL",0.7908
17031838800,"South Deering, Chicago, IL",0.7908
17031710500,"Auburn Gresham, Chicago, IL",0.7908
17031310700,"Lower West Side, Chicago, IL",0.7905
17031150502,"Portage Park, Chicago, IL",0.7903
17031670900,"Englewood, Chicago, IL",0.7903
17031340300,"South Side, Chicago, IL",0.79
17031040202,"Budlong Woods, Chicago, IL",0.79
17031490300,"South Side, Chicago, IL",0.79
17031460302,"South Chicago, Chicago, IL",0.7899
18089020400,"Hammond, IN",0.7898
17031440101,"East Chatham, Chicago, IL",0.7898
17043843200,"Villa Park, IL",0.7897
17031252202,"Austin, Chicago, IL",0.7896
17031150800,"Portage Park, Chicago, IL",0.7896
17043846604,"Addison, IL",0.7895
17031843300,"Douglas Park, Chicago, IL",0.7895
17031430500,"South Side, Chicago, IL",0.7895
17031700401,"South Side, Chicago, IL",0.7894
17031160502,"Irving Park, Chicago, IL",0.7894
17031241500,"West Town, Chicago, IL",0.7893
17031560900,"South Side, Chicago, IL",0.7891
17031681300,"Englewood, Chicago, IL",0.7889
17031841600,"Lawndale, Chicago, IL",0.7888
17031770500,"Des Plaines, IL",0.7888
17031630800,"South Side, Chicago, IL",0.7886
17031030400,"Edgewater, Chicago, IL",0.7884
17031251900,"Austin, Chicago, IL",0.7884
17031250500,"Austin, Chicago, IL",0.7884
17031140601,"Albany Park, Chicago, IL",0.7884
17031811301,"Melrose Park, IL",0.7883
17031610800,"Canaryville, Chicago, IL",0.7883
17031620400,"South Side, Chicago, IL",0.7882
17031811702,"Melrose Park, IL",0.7882
17031430600,"South Shore, Chicago, IL",0.7881
17031832000,"Lake View, Chicago, IL",0.7881
17031818500,"Westchester, IL",0.788
17031836600,"Humboldt Park, Chicago, IL",0.7879
17031430101,"South Shore, Chicago, IL",0.7879
17031221300,"Logan Square, Chicago, IL",0.7878
17031807800,"Skokie, IL",0.7877
17043844601,"Oak Brook, IL",0.7877
17031820902,"Burbank, IL",0.7877
17031823603,"Robbins, IL",0.7876
17031600900,"South Side, Chicago, IL",0.7874
17031807500,"Skokie, IL",0.7874
17031221000,"Logan Square, Chicago, IL",0.7874
17031050300,"North Center, Chicago, IL",0.7874
18089030400,"East Chicago, IN",0.7873
17043840600,"Elmhurst, IL",0.7872
17031710200,"Auburn Gresham, Chicago, IL",0.7871
17031822200,"Oak Lawn, IL",0.787
17031090200,"Edison Park, Chicago, IL",0.787
17031807900,"Lincolnwood, IL",0.7868
17031842500,"Greater Grand Crossing, Chicago, IL",0.7867
17031815701,"Riverside, IL",0.7865
17031710300,"Auburn Gresham, Chicago, IL",0.7865
17043846603,"Addison, IL",0.7864
17031830500,"Little Village, Chicago, IL",0.7864
17031100600,"Norwood Park, Chicago, IL",0.7863
17031010400,"Rogers Park, Chicago, IL",0.7861
17031070300,"Lincoln Park, Chicago, IL",0.7859
17031823704,"Hickory Hills, IL",0.7859
17031161200,"Kilbourn Park, Chicago, IL",0.7857
17043845200,"Hinsdale, IL",0.7856
17031430200,"South Shore, Chicago, IL",0.7856
18089030300,"East Chicago, IN",0.7854
17031411200,"Hyde Park, Chicago, IL",0.7854
17031830900,"Logan Square, Chicago, IL",0.7854
17031832200,"Bucktown, Chicago, IL",0.7853
17031191100,"Belmont Cragin, Chicago, IL",0.7853
17031650400,"South Side, Chicago, IL",0.7852
17031400300,"South Side, Chicago, IL",0.7851
17031110100,"Jefferson Park, Chicago, IL",0.7848
17031824400,"Crestwood, IL",0.7847
17031830800,"Lincoln Square, Chicago, IL",0.7846
17031842800,"Brighton Park, Chicago, IL",0.7845
17031580200,"Brighton Park, Chicago, IL",0.7844
17031830700,"Uptown, Chicago, IL",0.7844
17031480500,"South Side, Chicago, IL",0.7844
17031819200,"Lyons, IL",0.7842
17031811200,"River Grove, IL",0.7841
17031812200,"Oak Park, IL",0.784
17031711200,"Auburn Gresham, Chicago, IL",0.7839
17031100200,"Norwood Park, Chicago, IL",0.7839
17043840801,"Bensenville, IL",0.7839
17031291200,"North Lawndale, Chicago, IL",0.7838
17031150402,"Portage Park, Chicago, IL",0.7838
17031292500,"Lawndale, Chicago, IL",0.7837
17043845811,"Willowbrook, IL",0.7836
17031813000,"Oak Park, IL",0.7834
17031040300,"Budlong Woods, Chicago, IL",0.7833
17031243000,"West Town, Chicago, IL",0.7833
17031190800,"Belmont Cragin, Chicago, IL",0.7833
17031811402,"Franklin Park, IL",0.7831
17031810502,"Norridge, IL",0.783
17031770700,"Rosemont, IL",0.7829
17031440300,"South Side, Chicago, IL",0.7828
17031040600,"Lincoln Square, Chicago, IL",0.7826
17031812900,"Oak Park, IL",0.7824
17031814800,"Berwyn, IL",0.7824
17031820103,"La Grange, IL",0.7823
17031252201,"Austin, Chicago, IL",0.7822
17031816900,"Bellwood, IL",0.7821
17031660301,"South Side, Chicago, IL",0.7821
17043845809,"Downers Grove, IL",0.7821
17031130200,"North Park, Chicago, IL",0.782
17031839600,"Bronzeville, Chicago, IL",0.782
17031823801,"Palos Park, IL",0.7819
17031251300,"South Austin, Chicago, IL",0.7819
17031221100,"Logan Square, Chicago, IL",0.7818
17031740300,"South Side, Chicago, IL",0.7817
17031818900,"La Grange Park, IL",0.7816
17031805702,"Park Ridge, IL",0.7816
17031700200,"South Side, Chicago, IL",0.7815
17031230900,"Humboldt Park, Chicago, IL",0.7814
17031821101,"Burbank, IL",0.7813
17031271200,"East Garfield Park, Chicago, IL",0.7813
17031640300,"Clearing, Chicago, IL",0.7813
17031170800,"Belmont Heights, Chicago, IL",0.7812
17031460600,"South Chicago, Chicago, IL",0.7811
17031020802,"West Ridge, Chicago, IL",0.7808
17031816401,"Melrose Park, IL",0.7807
17031080400,"Old Town, Chicago, IL",0.7806
17043844502,"Oak Brook, IL",0.7806
17031190602,"Belmont Central, Chicago, IL",0.7806
17031710600,"South Side, Chicago, IL",0.7803
17031816600,"Stone Park, IL",0.7802
17031580600,"Brighton Park, Chicago, IL",0.7802
17043845902,"Burr Ridge, IL",0.78
17031251600,"Austin, Chicago, IL",0.7799
17031841300,"Heart of Chicago, Chicago, IL",0.7799
17031824800,"Posen, IL",0.7799
17031813302,"Chicago, IL",0.7798
17031820501,"Bridgeview, IL",0.7796
17031150700,"Portage Park, Chicago, IL",0.7795
17031550100,"South Side, Chicago, IL",0.7795
17031242900,"West Town, Chicago, IL",0.7794
17031824003,"Lemont, IL",0.7793
17031630400,"South Side, Chicago, IL",0.7792
17031833000,"Near West Side, Chicago, IL",0.779
17043840706,"Elmhurst, IL",0.779
17031500200,"South Side, Chicago, IL",0.779
17031220701,"Logan Square, Chicago, IL",0.7788
17031260900,"Garfield Park, Chicago, IL",0.7787
17031817500,"Maywood, IL",0.7787
17031822602,"Oak Lawn, IL",0.7786
17031770902,"Chicago, IL",0.7785
17031520400,"South Side, Chicago, IL",0.7785
17031330100,"Near South Side, Chicago, IL",0.7783
17043845506,"Westmont, IL",0.7783
17031837300,"East Garfield Park, Chicago, IL",0.7781
17031814700,"Berwyn, IL",0.778
17031730500,"South Side, Chicago, IL",0.778
17031490800,"Roseland, Chicago, IL",0.7778
17031823702,"Palos Hills, IL",0.7777
17031823500,"Blue Island, IL",0.7776
17031580502,"Brighton Park, Chicago, IL",0.7776
17031730700,"South Side, Chicago, IL",0.7773
17031381800,"South Side, Chicago, IL",0.7773
17043845402,"Hinsdale, IL",0.7773
17031220300,"Logan Square, Chicago, IL",0.7772
17031560700,"Garfield Ridge, Chicago, IL",0.7772
17031660400,"Chicago Lawn, Chicago, IL",0.777
18089030800,"East Chicago, IN",0.777
17031824106,"Orland Park, IL",0.777
17031821300,"Blue Island, IL",0.7768
17031815702,"Riverside, IL",0.7768
17031010702,"Rogers Park, Chicago, IL",0.7767
17031824005,"Lemont, IL",0.7767
17031819600,"La Grange, IL",0.7767
17043846701,"Addison, IL",0.7767
17031140800,"Albany Park, Chicago, IL",0.7766
17031390700,"East Hyde Park, Chicago, IL",0.7764
17031816700,"Northlake, IL",0.7763
17031750500,"Morgan Park, Chicago, IL",0.7762
17031834800,"Englewood, Chicago, IL",0.7761
17031250800,"Austin, Chicago, IL",0.776
17031081700,"River North, Chicago, IL",0.7758
17043840102,"Wood Dale, IL",0.7757
17031230400,"Humboldt Park, Chicago, IL",0.7756
17031750600,"South Side, Chicago, IL",0.7756
17031841900,"University Village / Little Italy, Chicago, IL",0.7755
