"tract","Name","Employment_Rate_rP_gP_p75"
17031221600,"Bucktown, Chicago, IL",0.8475
17031811500,"Franklin Park, IL",0.8474
17031410700,"Hyde Park, Chicago, IL",0.8474
17031110100,"Jefferson Park, Chicago, IL",0.8471
17031821900,"Evergreen Park, IL",0.847
17043843200,"Villa Park, IL",0.847
17031822702,"Oak Lawn, IL",0.8468
17031832100,"Lake View, Chicago, IL",0.8468
17031560900,"South Side, Chicago, IL",0.8467
17031816200,"Melrose Park, IL",0.8467
17031150300,"Portage Park, Chicago, IL",0.8466
17031220602,"Logan Square, Chicago, IL",0.8465
17031750200,"South Side, Chicago, IL",0.8464
17043844801,"Downers Grove, IL",0.8462
17031070300,"Lincoln Park, Chicago, IL",0.8461
17031822801,"Oak Lawn, IL",0.8461
17031670900,"Englewood, Chicago, IL",0.846
17043845807,"Downers Grove, IL",0.8459
17031110400,"Jefferson Park, Chicago, IL",0.8457
17031810400,"Park Ridge, IL",0.8455
17031210602,"Avondale, Chicago, IL",0.8455
17031051300,"North Center, Chicago, IL",0.8454
17031250700,"Austin, Chicago, IL",0.8453
17031824116,"Orland Park, IL",0.8452
17031351500,"Bronzeville, Chicago, IL",0.8451
17031030900,"Edgewater, Chicago, IL",0.8448
17031440102,"East Chatham, Chicago, IL",0.8447
17043845509,"Westmont, IL",0.8446
17043843500,"Lombard, IL",0.8446
17031819400,"Brookfield, IL",0.8444
17031243000,"West Town, Chicago, IL",0.8443
17031150402,"Portage Park, Chicago, IL",0.844
17031816800,"Berkeley, IL",0.844
17031030800,"Edgewater, Chicago, IL",0.8439
17031570200,"Archer Heights, Chicago, IL",0.8439
17031816900,"Bellwood, IL",0.8434
17043846604,"Addison, IL",0.8434
17031820201,"Burr Ridge, IL",0.8433
17031681000,"Englewood, Chicago, IL",0.8433
17031811800,"Northlake, IL",0.8432
17031819000,"La Grange Park, IL",0.8432
17031190402,"Belmont Central, Chicago, IL",0.8431
17031817200,"Maywood, IL",0.8431
17043843100,"Villa Park, IL",0.8429
17031221200,"Logan Square, Chicago, IL",0.8429
17031420400,"South Side, Chicago, IL",0.8428
17031150501,"Portage Park, Chicago, IL",0.8428
17031040402,"Lincoln Square, Chicago, IL",0.8427
17031140601,"Albany Park, Chicago, IL",0.8425
17031817000,"Bellwood, IL",0.8425
17031750300,"South Side, Chicago, IL",0.8423
17043845505,"Darien, IL",0.8423
17043843900,"Elmhurst, IL",0.8422
17031020902,"West Ridge, Chicago, IL",0.842
17031808001,"Lincolnwood, IL",0.842
17031830500,"Little Village, Chicago, IL",0.8419
17031818401,"Hillside, IL",0.8417
17031410800,"Hyde Park, Chicago, IL",0.8416
17043845200,"Hinsdale, IL",0.8414
17031824106,"Orland Park, IL",0.8414
17031230100,"Humboldt Park, Chicago, IL",0.8411
17031140302,"Albany Park, Chicago, IL",0.841
17031822000,"Hometown, IL",0.841
17031838800,"South Deering, Chicago, IL",0.8409
17031691400,"South Side, Chicago, IL",0.8407
17043845810,"Darien, IL",0.8406
17031807400,"Skokie, IL",0.8406
17031815500,"Berwyn, IL",0.8406
17031813302,"Chicago, IL",0.8404
17031242000,"Noble Square, Chicago, IL",0.8404
17031040201,"Lincoln Square, Chicago, IL",0.8404
17031381200,"Bronzeville, Chicago, IL",0.8403
17031510200,"South Side, Chicago, IL",0.8402
17043843301,"Lombard, IL",0.8401
17031650200,"South Side, Chicago, IL",0.84
17031842300,"West Town, Chicago, IL",0.84
17031816700,"Northlake, IL",0.8399
17031671600,"Englewood, Chicago, IL",0.8398
17031700200,"South Side, Chicago, IL",0.8397
17043844601,"Oak Brook, IL",0.8396
17031650100,"South Side, Chicago, IL",0.8395
17031600600,"Bridgeport, Chicago, IL",0.8395
17031120400,"Forest Glen, Chicago, IL",0.8395
17031818000,"Broadview, IL",0.8394
17031580400,"Brighton Park, Chicago, IL",0.8393
17031640700,"South Side, Chicago, IL",0.8389
17031830600,"Rogers Park, Chicago, IL",0.8389
17031824601,"Midlothian, IL",0.8389
17031062600,"West Lakeview, Chicago, IL",0.8388
17031817101,"Bellwood, IL",0.8385
17031411100,"Hyde Park, Chicago, IL",0.8384
18089020100,"Whiting, IN",0.8383
17031811600,"Schiller Park, IL",0.8383
17031805801,"Park Ridge, IL",0.8381
17043846603,"Addison, IL",0.8378
17031580600,"Brighton Park, Chicago, IL",0.8378
17031170600,"Dunning, Chicago, IL",0.8376
17031440201,"South Side, Chicago, IL",0.8376
17031251700,"Austin, Chicago, IL",0.8374
17031821800,"Evergreen Park, IL",0.8373
17031805111,"Des Plaines, IL",0.8372
17043845601,"Downers Grove, IL",0.8371
17031171000,"Dunning, Chicago, IL",0.8371
17043840600,"Elmhurst, IL",0.8369
17031835100,"Gage Park, Chicago, IL",0.8367
17031060900,"Lake View East, Chicago, IL",0.8367
17031560800,"Garfield Ridge, Chicago, IL",0.8367
17031824506,"Oak Forest, IL",0.8365
17031570100,"Archer Heights, Chicago, IL",0.8365
17031818900,"La Grange Park, IL",0.8364
17031839900,"Bridgeport, Chicago, IL",0.8363
18089030500,"East Chicago, IN",0.8362
17043845100,"Clarendon Hills, IL",0.8359
17031823603,"Robbins, IL",0.8357
17031071000,"Lincoln Park, Chicago, IL",0.8356
17031840300,"McKinley Park, Chicago, IL",0.8354
17031660400,"Chicago Lawn, Chicago, IL",0.8353
17031811000,"Elmwood Park, IL",0.8353
17031843300,"Douglas Park, Chicago, IL",0.8353
17031816100,"Forest Park, IL",0.8353
17031811701,"Melrose Park, IL",0.8352
17043845902,"Burr Ridge, IL",0.835
17031807800,"Skokie, IL",0.8349
17031120200,"Edgebrook, Chicago, IL",0.8347
18089040100,"Whiting, IN",0.8346
17043840303,"Addison, IL",0.8345
17031640400,"South Side, Chicago, IL",0.8345
17031820101,"Indian Head Park, IL",0.8344
17031200402,"Hermosa, Chicago, IL",0.8344
17031611500,"South Side, Chicago, IL",0.8344
17031180100,"Montclare, Chicago, IL",0.8343
17031400300,"South Side, Chicago, IL",0.8342
17031824113,"Orland Park, IL",0.8341
17043845507,"Darien, IL",0.8341
17031710200,"Auburn Gresham, Chicago, IL",0.8341
17031150200,"Portage Park, Chicago, IL",0.8341
18089020300,"Hammond, IN",0.8339
17031811200,"River Grove, IL",0.8338
17031530400,"South Side, Chicago, IL",0.8337
17043845506,"Westmont, IL",0.8337
17031630400,"South Side, Chicago, IL",0.8334
17031120300,"Forest Glen, Chicago, IL",0.8334
17031520200,"East Side, Chicago, IL",0.8334
17031822101,"Oak Lawn, IL",0.8334
17031440101,"East Chatham, Chicago, IL",0.8333
17031222200,"Bucktown, Chicago, IL",0.8332
17031700302,"Ashburn, Chicago, IL",0.8331
17031070700,"Lincoln Park, Chicago, IL",0.833
17031050100,"North Center, Chicago, IL",0.8329
17031842100,"Humboldt Park, Chicago, IL",0.8329
17031710500,"Auburn Gresham, Chicago, IL",0.8328
17031390400,"Kenwood, Chicago, IL",0.8325
17031430200,"South Shore, Chicago, IL",0.8325
17031671900,"Englewood, Chicago, IL",0.8324
17031171100,"Dunning, Chicago, IL",0.8322
17031820604,"Justice, IL",0.8322
17031770201,"Elk Grove Village, IL",0.8319
17031190800,"Belmont Cragin, Chicago, IL",0.8319
17031711300,"Auburn Gresham, Chicago, IL",0.8318
17031720400,"South Side, Chicago, IL",0.8317
17031561000,"South Side, Chicago, IL",0.8316
17031817900,"Broadview, IL",0.8315
17031720700,"Beverly, Chicago, IL",0.8314
17031823602,"Crestwood, IL",0.8314
17031820104,"Countryside, IL",0.831
17043844201,"Lombard, IL",0.8307
17031811301,"Melrose Park, IL",0.8306
17031230800,"Humboldt Park, Chicago, IL",0.8306
17031824105,"Orland Park, IL",0.8304
17031670400,"Englewood, Chicago, IL",0.8303
17031640600,"South Side, Chicago, IL",0.8301
17031200200,"Belmont Gardens, Chicago, IL",0.8301
17031580502,"Brighton Park, Chicago, IL",0.8299
17031819700,"La Grange, IL",0.8298
17031291200,"North Lawndale, Chicago, IL",0.8296
17043845510,"Westmont, IL",0.8296
17031600400,"Bridgeport, Chicago, IL",0.8296
17031020802,"West Ridge, Chicago, IL",0.8294
17031480400,"Calumet Heights, Chicago, IL",0.8294
17031711000,"Auburn Gresham, Chicago, IL",0.8294
17031814400,"Cicero, IL",0.8293
17043842800,"Elmhurst, IL",0.8293
